Date : 2023-08-24 00:02:42
Directory : c:\Users\ASUS\Desktop\Source
Total : 379 files,  79454 codes, 2211 comments, 1491 blanks, all 83156 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_top-nav.css                                         | CSS        |        329 |          6 |          3 |        338 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_typing-dots.css                                     | CSS        |         21 |          0 |          2 |         23 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_zoom-in.css                                         | CSS        |         14 |          0 |          1 |         15 |
| c:\Users\ASUS\Desktop\Source\resources\css\components\_zoom-vanilla.css                                    | CSS        |          8 |          0 |          2 |         10 |
| c:\Users\ASUS\Desktop\Source\resources\images\error-illustration.svg                                       | XML        |         72 |          0 |          1 |         73 |
| c:\Users\ASUS\Desktop\Source\resources\images\illustration.svg                                             | XML        |        121 |          0 |          1 |        122 |
| c:\Users\ASUS\Desktop\Source\resources\images\logo.svg                                                     | XML        |          9 |          0 |          1 |         10 |
| c:\Users\ASUS\Desktop\Source\resources\images\phone-illustration.svg                                       | XML        |         11 |          0 |          1 |         12 |
| c:\Users\ASUS\Desktop\Source\resources\images\woman-illustration.svg                                       | XML        |         32 |          0 |          1 |         33 |
| c:\Users\ASUS\Desktop\Source\resources\js\app.js                                                           | JavaScript |          5 |          1 |          1 |          7 |
| c:\Users\ASUS\Desktop\Source\resources\js\bootstrap.js                                                     | JavaScript |         11 |         23 |          8 |         42 |
| c:\Users\ASUS\Desktop\Source\resources\js\colors.js                                                        | JavaScript |         20 |          0 |          5 |         25 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\balloon-block-editor\index.js                         | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\balloon-editor\index.js                               | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\calendar\draggable\index.js                           | JavaScript |         16 |          0 |          2 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\calendar\index.js                                     | JavaScript |         62 |          0 |          4 |         66 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\classic-editor\index.js                               | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\dark-mode-switcher\index.js                           | JavaScript |         14 |          1 |          3 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\document-editor\index.js                              | JavaScript |         16 |          0 |          2 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\donut-chart\index.js                                  | JavaScript |         42 |          1 |          2 |         45 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\dropzone\index.js                                     | JavaScript |         33 |          1 |          6 |         40 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\highlight\index.js                                    | JavaScript |         21 |          5 |          7 |         33 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\horizontal-bar-chart\index.js                         | JavaScript |         86 |          1 |          2 |         89 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\inline-editor\index.js                                | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\leaflet-map-loader\index.js                           | JavaScript |         89 |          0 |         10 |         99 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\line-chart\index.js                                   | JavaScript |         96 |          1 |          2 |         99 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\litepicker\index.js                                   | JavaScript |         38 |          1 |          6 |         45 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\lucide\index.js                                       | JavaScript |          8 |          1 |          2 |         11 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\mobile-menu\index.js                                  | JavaScript |         44 |          2 |          4 |         50 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\pie-chart\index.js                                    | JavaScript |         41 |          1 |          2 |         44 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\preview-component\index.js                            | JavaScript |         18 |          1 |          2 |         21 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\report-bar-chart-1\index.js                           | JavaScript |         83 |          1 |          2 |         86 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\report-bar-chart\index.js                             | JavaScript |         77 |          5 |          8 |         90 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\report-donut-chart-1\index.js                         | JavaScript |         42 |          1 |          2 |         45 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\report-donut-chart-2\index.js                         | JavaScript |         40 |          1 |          2 |         43 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\report-donut-chart\index.js                           | JavaScript |         44 |          1 |          2 |         47 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\report-line-chart\index.js                            | JavaScript |         94 |          1 |          2 |         97 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\report-pie-chart\index.js                             | JavaScript |         43 |          1 |          2 |         46 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\simple-line-chart-1\index.js                          | JavaScript |         75 |          1 |          2 |         78 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\simple-line-chart-2\index.js                          | JavaScript |         75 |          1 |          2 |         78 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\simple-line-chart-3\index.js                          | JavaScript |         82 |          1 |          2 |         85 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\simple-line-chart-4\index.js                          | JavaScript |         82 |          1 |          2 |         85 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\simple-line-chart\index.js                            | JavaScript |         69 |          1 |          2 |         72 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\source\index.js                                       | JavaScript |         15 |          1 |          3 |         19 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\stacked-bar-chart-1\index.js                          | JavaScript |         76 |          1 |          2 |         79 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\stacked-bar-chart\index.js                            | JavaScript |         91 |          1 |          2 |         94 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\tiny-slider\index.js                                  | JavaScript |        101 |          1 |          9 |        111 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\tippy-content\index.js                                | JavaScript |         49 |          1 |          7 |         57 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\tippy\index.js                                        | JavaScript |         26 |          1 |          8 |         35 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\tom-select\index.js                                   | JavaScript |         49 |          1 |          6 |         56 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\top-bar\index.js                                      | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\js\components\vertical-bar-chart\index.js                           | JavaScript |         85 |          1 |          2 |         88 |
| c:\Users\ASUS\Desktop\Source\resources\js\helper.js                                                        | JavaScript |        116 |          0 |         12 |        128 |
| c:\Users\ASUS\Desktop\Source\resources\js\layouts\side-menu\index.js                                       | JavaScript |         61 |          2 |          6 |         69 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\calendar\index.js                                          | JavaScript |          0 |         77 |          5 |         82 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\chat\index.js                                              | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\login\index.js                                             | JavaScript |         44 |          3 |          7 |         54 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\modal\index.js                                             | JavaScript |         18 |          3 |          4 |         25 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\notification\index.js                                      | JavaScript |        104 |         12 |         10 |        126 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\slideover\index.js                                         | JavaScript |         18 |          3 |          4 |         25 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\tabulator\index.js                                         | JavaScript |          4 |        296 |          1 |        301 |
| c:\Users\ASUS\Desktop\Source\resources\js\pages\validation\index.js                                        | JavaScript |         58 |          0 |          6 |         64 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\accordion\index.js                                        | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\alert\index.js                                            | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\calendar\index.js                                         | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\calendar\plugins\day-grid.js                              | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\calendar\plugins\interaction.js                           | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\calendar\plugins\list.js                                  | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\calendar\plugins\time-grid.js                             | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\chartjs\index.js                                          | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\ckeditor\balloon-block\index.js                           | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\ckeditor\balloon\index.js                                 | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\ckeditor\classic\index.js                                 | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\ckeditor\document\index.js                                | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\ckeditor\inline\index.js                                  | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\dom\index.js                                              | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\dropdown\index.js                                         | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\dropzone\index.js                                         | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\highlight\index.js                                        | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\image-zoom\index.js                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\leaflet-map\index.js                                      | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\litepicker\index.js                                       | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\lucide\index.js                                           | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\modal\index.js                                            | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\pristine\index.js                                         | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\simplebar\index.js                                        | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\svg-loader\index.js                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\tab\index.js                                              | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\tabulator\index.js                                        | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\tailwind-merge\index.js                                   | JavaScript |          7 |          0 |          4 |         11 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\tiny-slider\index.js                                      | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\tippy\index.js                                            | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\toastify\index.js                                         | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\tom-select\index.js                                       | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\transition\index.js                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ASUS\Desktop\Source\resources\js\vendor\xlsx\index.js                                             | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\json\location.json                                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\alert\dismiss-button.blade.php                | PHP        |          8 |          0 |          2 |         10 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\alert\index.blade.php                         | PHP        |        122 |          3 |          6 |        131 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\balloon-block-editor\index.blade.php          | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\balloon-editor\index.blade.php                | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\breadcrumb\index.blade.php                    | PHP        |         12 |          0 |          2 |         14 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\breadcrumb\link.blade.php                     | PHP        |         19 |          0 |          5 |         24 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\button\index.blade.php                        | PHP        |        161 |          6 |          8 |        175 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\calendar\draggable\index.blade.php            | PHP        |         15 |          0 |          3 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\chart\index.blade.php                         | PHP        |          8 |          0 |          2 |         10 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\classic-editor\index.blade.php                | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\dialog\description.blade.php                  | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\dialog\footer.blade.php                       | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\dialog\index.blade.php                        | PHP        |         16 |          0 |          3 |         19 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\dialog\panel.blade.php                        | PHP        |         11 |          0 |          2 |         13 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\dialog\title.blade.php                        | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\disclosure\button.blade.php                   | PHP        |         23 |          0 |          2 |         25 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\disclosure\group.blade.php                    | PHP        |          5 |          0 |          2 |          7 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\disclosure\index.blade.php                    | PHP        |         21 |          0 |          3 |         24 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\disclosure\panel.blade.php                    | PHP        |         21 |          0 |          2 |         23 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\document-editor\index.blade.php               | PHP        |         18 |          0 |          3 |         21 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\dropzone\index.blade.php                      | PHP        |         28 |          0 |          4 |         32 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\file-icon\index.blade.php                     | PHP        |         38 |          0 |          3 |         41 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-check\index.blade.php                    | PHP        |          4 |          0 |          1 |          5 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-check\input.blade.php                    | PHP        |         21 |          6 |          7 |         34 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-check\label.blade.php                    | PHP        |          4 |          0 |          1 |          5 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-help\index.blade.php                     | PHP        |          6 |          0 |          1 |          7 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-inline\index.blade.php                   | PHP        |          6 |          0 |          1 |          7 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-input\index.blade.php                    | PHP        |         20 |          0 |          2 |         22 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-label\index.blade.php                    | PHP        |          7 |          0 |          2 |          9 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-select\index.blade.php                   | PHP        |         18 |          0 |          2 |         20 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-switch\index.blade.php                   | PHP        |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-switch\input.blade.php                   | PHP        |         14 |          2 |          3 |         19 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-switch\label.blade.php                   | PHP        |          2 |          0 |          1 |          3 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\form-textarea\index.blade.php                 | PHP        |         20 |          0 |          2 |         22 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\highlight\index.blade.php                     | PHP        |         35 |          0 |          4 |         39 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\image-zoom\index.blade.php                    | PHP        |         11 |          0 |          3 |         14 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\inline-editor\index.blade.php                 | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\input-group\index.blade.php                   | PHP        |          7 |          0 |          2 |          9 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\input-group\text.blade.php                    | PHP        |         10 |          0 |          2 |         12 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\leaflet-map-loader\index.blade.php            | PHP        |         23 |          0 |          4 |         27 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\litepicker\index.blade.php                    | PHP        |         14 |          0 |          3 |         17 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\loading-icon\index.blade.php                  | PHP        |     15,279 |          0 |          3 |     15,282 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\lucide\index.blade.php                        | PHP        |         17 |          0 |          4 |         21 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\menu\button.blade.php                         | PHP        |         16 |          0 |          2 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\menu\divider.blade.php                        | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\menu\footer.blade.php                         | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\menu\header.blade.php                         | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\menu\index.blade.php                          | PHP        |         11 |          0 |          3 |         14 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\menu\item.blade.php                           | PHP        |         11 |          0 |          2 |         13 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\menu\items.blade.php                          | PHP        |         17 |          0 |          1 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\notification\index.blade.php                  | PHP        |          4 |          0 |          1 |          5 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\pagination\index.blade.php                    | PHP        |          5 |          0 |          1 |          6 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\pagination\link.blade.php                     | PHP        |         15 |          0 |          2 |         17 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\popover\button.blade.php                      | PHP        |         15 |          0 |          2 |         17 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\popover\index.blade.php                       | PHP        |         11 |          0 |          3 |         14 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\popover\panel.blade.php                       | PHP        |         17 |          0 |          1 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\preview-component\index.blade.php             | PHP        |          8 |          0 |          2 |         10 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\preview\index.blade.php                       | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\progress\bar\index.blade.php                  | PHP        |          6 |          0 |          1 |          7 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\progress\index.blade.php                      | PHP        |          6 |          0 |          1 |          7 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\slideover\description.blade.php               | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\slideover\footer.blade.php                    | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\slideover\index.blade.php                     | PHP        |         16 |          0 |          3 |         19 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\slideover\panel.blade.php                     | PHP        |         11 |          0 |          2 |         13 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\slideover\title.blade.php                     | PHP        |          4 |          0 |          2 |          6 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\source\index.blade.php                        | PHP        |          8 |          0 |          2 |         10 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tab\button.blade.php                          | PHP        |         74 |          8 |         12 |         94 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tab\group.blade.php                           | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tab\index.blade.php                           | PHP        |         15 |          0 |          3 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tab\list.blade.php                            | PHP        |          8 |          0 |          2 |         10 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tab\panel.blade.php                           | PHP        |         16 |          0 |          2 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tab\panels.blade.php                          | PHP        |          4 |          0 |          1 |          5 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\table\index.blade.php                         | PHP        |          7 |          0 |          2 |          9 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\table\tbody.blade.php                         | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\table\td.blade.php                            | PHP        |         14 |          0 |          2 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\table\th.blade.php                            | PHP        |         16 |          0 |          2 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\table\thead.blade.php                         | PHP        |         12 |          0 |          2 |         14 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\table\tr.blade.php                            | PHP        |         16 |          0 |          2 |         18 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tiny-slider\index.blade.php                   | PHP        |         17 |          0 |          4 |         21 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tippy-content\index.blade.php                 | PHP        |         11 |          0 |          3 |         14 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tippy\index.blade.php                         | PHP        |         23 |          0 |          4 |         27 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\tom-select\index.blade.php                    | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\base\transition\index.blade.php                    | PHP        |         41 |          0 |          3 |         44 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\calendar\index.blade.php                           | PHP        |         18 |          0 |          3 |         21 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\dark-mode-switcher\index.blade.php                 | PHP        |         19 |          0 |          2 |         21 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\donut-chart\index.blade.php                        | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\horizontal-bar-chart\index.blade.php               | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\leaflet-map\index.blade.php                        | PHP        |          6 |          0 |          1 |          7 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\line-chart\index.blade.php                         | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\main-color-switcher\index.blade.php                | PHP        |         28 |          0 |          1 |         29 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\mobile-menu\index.blade.php                        | PHP        |        131 |          0 |          3 |        134 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\pie-chart\index.blade.php                          | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\report-bar-chart-1\index.blade.php                 | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\report-bar-chart\index.blade.php                   | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\report-donut-chart-1\index.blade.php               | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\report-donut-chart-2\index.blade.php               | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\report-donut-chart\index.blade.php                 | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\report-line-chart\index.blade.php                  | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\report-pie-chart\index.blade.php                   | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\simple-line-chart-1\index.blade.php                | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\simple-line-chart-2\index.blade.php                | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\simple-line-chart-3\index.blade.php                | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\simple-line-chart-4\index.blade.php                | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\simple-line-chart\index.blade.php                  | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\stacked-bar-chart-1\index.blade.php                | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\stacked-bar-chart\index.blade.php                  | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\top-bar\index.blade.php                            | PHP        |        280 |          0 |          4 |        284 |
| c:\Users\ASUS\Desktop\Source\resources\views\components\vertical-bar-chart\index.blade.php                 | PHP        |         13 |          0 |          3 |         16 |
| c:\Users\ASUS\Desktop\Source\resources\views\layouts\base.blade.php                                        | PHP        |         59 |          0 |          9 |         68 |
| c:\Users\ASUS\Desktop\Source\resources\views\layouts\side-menu.blade.php                                   | PHP        |        132 |          4 |         10 |        146 |
| c:\Users\ASUS\Desktop\Source\resources\views\layouts\simple-menu.blade.php                                 | PHP        |        132 |          4 |          9 |        145 |
| c:\Users\ASUS\Desktop\Source\resources\views\layouts\top-menu.blade.php                                    | PHP        |         99 |          2 |          5 |        106 |
| c:\Users\ASUS\Desktop\Source\resources\views\login\main.blade.php                                          | PHP        |        137 |          0 |          4 |        141 |
| c:\Users\ASUS\Desktop\Source\resources\views\pages\accordion.blade.php                                     | PHP        |        369 |          0 |          3 |        372 |
| c:\Users\ASUS\Desktop\Source\resources\views\pages\add-product.blade.php                                   | PHP        |      1,832 |          0 |          3 |      1,835 |
| c:\Users\ASUS\Desktop\Source\resources\views\pages\alert.blade.php                                         | PHP        |      1,357 |          0 |          3 |      1,360 |
| c:\Users\ASUS\Desktop\Source\resources\views\pages\blog-layout-1.blade.php                                 | PHP        |        263 |          0 |          3 |        266 |
| c:\Users\ASUS\Desktop\Source\resources\views\pages\blog-layout-2.blade.php                                 | PHP        |        262 |          0 |          3 |        265 |
| c:\Users\ASUS\Desktop\Source\resources\views\pages\blog-layout-3.blade.php                                 | PHP        |        254 |          0 |          3 |        257 |
